stype,l1,l2,l3,proportion
gricean,1,4,1,4.95958135714e-27
gricean,1,4,2,1.13239004145e-20
gricean,1,4,3,2.9016343988e-09
gricean,1,4,4,2.7690423152e-06
gricean,1,4,5,2.68000743258e-09
gricean,1,5,6,1.09514328671e-23
gricean,1,5,1,1.47055306328e-32
gricean,1,5,2,1.41696272308e-23
gricean,1,5,3,3.0134551288e-13
gricean,1,5,4,3.01093840364e-09
gricean,1,5,5,1.17810808461e-12
gricean,2,6,6,6.61382206988e-20
gricean,2,6,1,3.51040726224e-24
gricean,2,6,2,5.22030724892e-20
gricean,2,6,3,2.5912519589e-06
gricean,2,6,4,0.00226057448722
gricean,2,6,5,4.00646077943e-05
gricean,2,1,6,3.89182513706e-24
gricean,2,1,1,3.25900711147e-31
gricean,2,1,2,9.96266843937e-25
gricean,2,1,3,4.518921399e-11
gricean,2,1,4,5.1711697069e-08
gricean,2,1,5,5.52031301319e-11
gricean,2,2,6,6.02490081129e-20
gricean,2,2,1,6.04748446602e-24
gricean,2,2,2,1.58626568197e-19
gricean,2,2,3,2.87479855177e-06
gricean,2,2,4,0.00336109176207
gricean,2,2,5,1.64622072455e-05
gricean,2,3,6,7.7115566985e-19
gricean,2,3,1,8.63856991177e-24
gricean,2,3,2,2.10213614266e-18
gricean,2,3,3,1.03623263489e-06
gricean,2,3,4,0.000803003084964
gricean,2,3,5,2.41399141034e-06
gricean,2,4,6,1.57062890006e-16
gricean,2,4,1,9.78398110717e-21
gricean,2,4,2,1.12927049841e-16
gricean,2,4,3,0.00109830730011
gricean,2,4,4,0.0227538062752
gricean,2,4,5,0.000330148718231
gricean,2,5,6,3.10401423498e-18
gricean,2,5,1,1.40530746604e-23
gricean,2,5,2,2.07386395228e-18
gricean,2,5,3,4.18000121949e-06
gricean,2,5,4,0.000284312503973
gricean,2,5,5,1.61921522002e-06
gricean,3,6,6,4.60600375278e-16
gricean,3,6,1,4.7106939044e-21
gricean,3,6,2,1.34450515177e-16
gricean,3,6,3,7.26808861658e-07
gricean,3,6,4,0.00017916193878
gricean,3,6,5,5.93659699763e-07
gricean,3,1,6,1.07535865166e-21
gricean,3,1,1,8.84764980042e-30
gricean,3,1,2,4.03729699481e-21
gricean,3,1,3,6.99377738257e-13
gricean,3,1,4,2.31910917813e-09
gricean,3,1,5,3.5769039695e-13
gricean,3,2,6,8.81765280735e-17
gricean,3,2,1,2.43887779359e-21
gricean,3,2,2,9.00422434809e-17
gricean,3,2,3,2.13837500693e-06
gricean,3,2,4,0.000138717538628
gricean,3,2,5,1.08192390295e-06
gricean,3,3,6,2.40093789563e-06
gricean,3,3,1,4.74166630645e-13
gricean,3,3,2,2.09221890867e-06
gricean,3,3,3,1.14311288498e-07
gricean,3,3,4,0.000112166700594
gricean,3,3,5,1.12856197214e-07
gricean,3,4,6,0.000503837416374
gricean,3,4,1,3.83032403449e-09
gricean,3,4,2,0.000957954921947
gricean,3,4,3,7.26209673787e-05
gricean,3,4,4,0.0190956680136
gricean,3,4,5,8.5081931172e-05
gricean,3,5,6,2.56639660028e-06
gricean,3,5,1,4.83643144179e-13
gricean,3,5,2,3.40048138238e-06
gricean,3,5,3,9.61847711732e-08
gricean,3,5,4,8.68875920159e-05
gricean,3,5,5,9.28097477162e-08
gricean,4,6,6,2.73322049866e-14
gricean,4,6,1,4.08761811428e-18
gricean,4,6,2,5.06472185139e-14
gricean,4,6,3,0.000132899466051
gricean,4,6,4,0.0579287253764
gricean,4,6,5,0.00031800871797
gricean,4,1,6,3.33453283518e-19
gricean,4,1,1,1.23883188373e-26
gricean,4,1,2,1.21463984171e-18
gricean,4,1,3,1.25340825795e-09
gricean,4,1,4,1.3672344577e-06
gricean,4,1,5,2.1572170503e-09
gricean,4,2,6,8.10384217237e-14
gricean,4,2,1,2.40999788278e-18
gricean,4,2,2,2.03427107619e-14
gricean,4,2,3,0.000344218046147
gricean,4,2,4,0.0305118413774
gricean,4,2,5,0.000379833319887
gricean,4,3,6,0.000636448325502
gricean,4,3,1,1.42133705815e-09
gricean,4,3,2,0.000823620636553
gricean,4,3,3,8.06118010891e-05
gricean,4,3,4,0.0162787167526
gricean,4,3,5,5.37457283639e-05
gricean,4,4,6,0.0894230753218
gricean,4,4,1,2.88796485614e-06
gricean,4,4,2,0.0542831000169
gricean,4,4,3,0.0173110337227
gricean,4,4,4,0.586880917668
gricean,4,4,5,0.0180323671203
gricean,4,5,6,0.000602126878931
gricean,4,5,1,3.65558430258e-09
gricean,4,5,2,0.000514359090329
gricean,4,5,3,7.33156895104e-05
gricean,4,5,4,0.0180699441837
gricean,4,5,5,7.83985993725e-05
gricean,5,6,6,1.36815829415e-17
gricean,5,6,1,4.76023533889e-23
gricean,5,6,2,1.55040289674e-16
gricean,5,6,3,1.70700193447e-06
gricean,5,6,4,0.000387438766899
gricean,5,6,5,1.60412986555e-06
gricean,5,1,6,2.8857620692e-21
gricean,5,1,1,5.20564959799e-30
gricean,5,1,2,1.96648096685e-21
gricean,5,1,3,2.36048019297e-13
gricean,5,1,4,1.87598001562e-09
gricean,5,1,5,1.88974419145e-13
gricean,5,2,6,5.72028844647e-16
gricean,5,2,1,1.68519493878e-21
gricean,5,2,2,1.09713719754e-15
gricean,5,2,3,1.88634862571e-06
gricean,5,2,4,0.000280166609581
gricean,5,2,5,2.71172370476e-06
gricean,5,3,6,3.15683746459e-06
gricean,5,3,1,5.74496284787e-13
gricean,5,3,2,2.11349962865e-06
gricean,5,3,3,1.20558601919e-07
gricean,5,3,4,5.62989990896e-05
gricean,5,3,5,1.25638677786e-07
gricean,5,4,6,0.00062572787337
gricean,5,4,1,3.46403711651e-09
gricean,5,4,2,0.000491557436181
gricean,5,4,3,4.76040730827e-05
gricean,5,4,4,0.0136054287886
gricean,5,4,5,6.71607216863e-05
gricean,5,5,6,2.00898282055e-06
gricean,5,5,1,9.80593382431e-13
gricean,5,5,2,2.02122437737e-06
gricean,5,5,3,1.27051933685e-07
gricean,5,5,4,9.31599682438e-05
gricean,5,5,5,1.00331842368e-07
